No. ,Code,Stock Company Name,Amount of Shares,Market Cap IDR,Weight,Months
1,BREN,PT Barito Renewables Energy Tbk.,133786220000,1140527525.5,7.58,1
2,BBCA,Bank Central Asia Tbk.,122042299500,903113016.3,6.0,1
3,DSSA,Dian Swastatika Sentosa Tbk,7705523200,762846796.8,5.07,1
4,BBRI,PT Bank Rakyat Indonesia (Persero) Tbk,150043411587,571665398.15,3.8,1
5,TPIA,Chandra Asri Pacific Tbk.,86511545092,557999465.84,3.71,1
6,AMMN,PT Amman Mineral Internasional Tbk.,72518217656,551138454.19,3.66,1
7,BYAN,Bayan Resources Tbk.,33333335000,525000026.25,3.49,1
8,DCII,DCI Indonesia Tbk.,2383745900,476749180.0,3.17,1
9,BMRI,Bank Mandiri (Persero) Tbk.,92399999996,445367999.98,2.96,1
10,TLKM,Telkom Indonesia (Persero) Tbk.,99062216600,356623979.76,2.37,1
11,MORA,Ekamas Mora Republik Tbk.,23646668691,276074856.97,1.83,1
12,ASII,Astra International Tbk,40483553140,257070562.44,1.71,1
13,BRPT,Barito Pacific Tbk.,93747218044,202493990.98,1.35,1
14,CUAN,PT Petrindo Jaya Kreasi Tbk,112418900000,202354020.0,1.34,1
15,SRAJ,Sejahteraraya Anugrahjaya Tbk,12238959990,196435307.84,1.31,1
16,PANI,Pantai Indah Kapuk Dua Tbk.,18117025598,168488338.06,1.12,1
17,BBNI,PT Bank Negara Indonesia (Persero) Tbk,36924339786,165790285.64,1.1,1
18,FILM,MD Entertainment Tbk.,10887566758,157869717.99,1.05,1
19,BRMS,Bumi Resources Minerals Tbk.,141784040338,153126763.57,1.02,1
20,BNLI,Bank Permata Tbk,35819545925,152233070.18,1.01,1
21,CDIA,Chandra Daya Investasi Tbk.,124829374700,146674515.27,0.97,1
22,IMPC,Impack Pratama Industri Tbk.,54907000000,130678660.0,0.87,1
23,DNET,PT Indoritel Makmur Internasional Tbk.,14184000000,127301400.0,0.85,1
24,MPRO,Maha Properti Indonesia Tbk.,9942500000,109367500.0,0.73,1
25,EMAS,Merdeka Gold Resources Tbk.,16180232675,105980524.02,0.7,1
26,BRIS,Bank Syariah Indonesia (Persero) Tbk.,45667877639,102752724.69,0.68,1
27,ANTM,Aneka Tambang Tbk.,24030764725,101169519.49,0.67,1
28,UNTR,United Tractors Tbk.,3730135136,97170020.29,0.65,1
29,BUMI,Bumi Resources Tbk.,371335392068,95804531.15,0.64,1
30,HMSP,HM Sampoerna Tbk,116318076900,95380823.06,0.63,1
31,ICBP,Indofood CBP Sukses Makmur Tbk.,11661908000,92712168.6,0.62,1
32,NCKL,PT Trimegah Bangun Persada Tbk.,63098600000,86760575.0,0.58,1
33,MLPT,Multipolar Technology Tbk.,1875000000,85218750.0,0.57,1
